Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,10,12,16,19,06,0.13,-0.00,-0.00,-0.00, 4.4,-0.1,-0.1,-0.1, 165, 12.837,   0.226,   133
22,10,12,18,19,06,0.15,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 183, 12.243,   0.087,   218
22,10,12,20,19,06,0.28,0.45,0.36,-0.00, 9.8, 5.7, 5.2,-0.1, 188, 12.917,   0.209,   292
22,10,12,22,19,06,0.21,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 173, 14.406,   0.280,   299
22,10,13,00,19,06,0.17,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 157, 15.188,   0.082,   300
22,10,13,02,19,06,0.15,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 157, 14.770,   0.208,   119
22,10,13,04,19,06,0.12,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 149, 13.229,   0.239,   122
22,10,13,06,19,06,0.17,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 165, 12.584,   0.060,   192
22,10,13,08,19,06,0.19,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 177, 13.064,   0.188,   287
22,10,13,10,19,06,0.24,-0.00,-0.00,-0.00, 3.1,-0.1,-0.1,-0.1, 173, 14.529,   0.288,   303
22,10,13,12,19,06,0.19,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 165, 15.401,   0.149,   298
22,10,13,14,19,06,0.41,1.28,1.15,1.48, 2.7, 5.3, 3.4, 6.1, 149, 15.075,   0.145,   103
22,10,13,16,19,06,0.34,-0.00,-0.00,-0.00, 3.0,-0.1,-0.1,-0.1, 145, 13.607,   0.240,   130
22,10,13,18,19,06,0.44,-0.00,-0.00,-0.00, 3.1,-0.1,-0.1,-0.1, 169, 12.455,   0.091,   164
22,10,13,20,19,06,0.64,0.78,0.64,1.04, 3.5, 3.3, 3.4, 3.6, 145, 12.681,   0.117,   273
22,10,13,22,19,06,0.63,1.29,1.04,1.56, 3.9, 3.8, 3.4, 3.0, 165, 13.903,   0.263,   305
22,10,14,00,19,06,0.64,-0.00,-0.00,-0.00, 3.1,-0.1,-0.1,-0.1, 169, 14.932,   0.171,   284
22,10,14,02,19,06,0.68,-0.00,-0.00,-0.00, 3.3,-0.1,-0.1,-0.1, 145, 14.944,   0.030,    93
22,10,14,04,19,06,0.76,0.99,0.82,1.33, 3.9, 3.9, 4.1, 3.8, 156, 13.952,   0.235,   123
22,10,14,06,19,06,0.69,0.92,0.77,1.26, 3.5, 4.1, 4.2, 4.4, 149, 12.819,   0.095,   139
22,10,14,08,19,06,0.84,1.07,0.91,1.38, 5.1, 4.3, 4.2, 3.9, 168, 12.952,   0.131,   286
22,10,14,10,19,06,0.95,1.18,1.01,1.56, 6.7, 5.0, 4.6, 5.5, 169, 14.132,   0.224,   296
22,10,14,12,19,06,1.14,1.36,1.11,1.87, 3.5, 5.0, 4.8, 6.0, 161, 15.160,   0.148,   284
22,10,14,14,19,06,1.21,1.50,1.22,1.99, 7.5, 5.7, 5.5, 5.3, 193, 15.287,   0.055,   236
22,10,14,16,19,06,0.99,1.18,1.01,1.75, 8.5, 4.8, 4.7, 3.9, 183, 14.216,   0.225,   130
22,10,14,18,19,06,1.07,1.30,1.10,1.67, 4.1, 5.4, 5.1, 5.9, 134, 12.817,   0.145,   151
22,10,14,20,19,06,1.19,1.40,1.16,1.86, 7.5, 6.0, 5.8, 5.5, 168, 12.598,   0.072,   250
22,10,14,22,19,06,1.19,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 157, 13.374,   0.192,   299
22,10,15,00,19,06,1.14,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 183, 14.576,   0.197,   294
22,10,15,02,19,06,1.29,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 174, 14.970,   0.060,   224
22,10,15,04,19,06,0.98,1.16,1.02,-0.00, 6.7, 5.0, 4.6,-0.1, 183, 14.409,   0.148,   119
22,10,15,06,19,06,0.98,1.17,1.03,1.32, 9.8, 5.3, 4.8, 5.4, 169, 13.148,   0.120,   137
22,10,15,08,19,06,1.04,1.23,1.06,1.57, 8.5, 6.3, 5.9, 5.8, 153, 12.868,   0.056,   281
22,10,15,10,19,06,1.19,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 182, 13.683,   0.184,   294
22,10,15,12,19,06,0.84,0.76,0.72,-0.00, 8.5, 3.6, 3.5,-0.1, 188, 14.762,   0.186,   289
22,10,15,14,19,06,1.18,1.41,1.17,1.75,11.6, 8.4, 8.0, 8.8, 187, 15.238,   0.018,   183
22,10,15,16,19,06,0.78,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 193, 14.634,   0.233,   106
22,10,15,18,19,06,0.73,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 193, 13.237,   0.150,   126
